SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
IFNB,38.23681266,43.25147662,121.3548118,145.6523613,53.28223777,120.1715269,48.06861076,46.00852744,53.56216628,91.33036045,40.40506092,43.85427344,37.44859305,55.32111432,38.60905721
EOTAXIN,90.50293895,82.13712106,41.36374885,163.5503013,60.28525611,75.2909981,94.39468419,78.66223682,128.1070714,69.6722669,117.4486831,140.4778366,69.08746064,90.60967158,37.01828083
IL12P70,35.27259278,47.03012371,53.41980802,121.0808132,46.55083921,48.19163367,37.2911451,36.71743518,45.32308404,42.45453442,35.52183479,37.04419914,32.47710609,46.77126603,26.4738582
IL13,23.39127282,29.23909102,37.26187589,186.2628654,27.42917328,28.61032339,18.31060697,16.0217811,18.31060697,18.31060697,23.01418382,18.63052976,18.63052976,25.11989301,7.395055131
IL17A,54.91312764,87.63533384,59.27835483,114.1138675,76.29438479,82.0710697,37.9958656,50.15454259,75.48511966,68.39255808,40.22282786,83.46236782,76.42337294,73.05695102,55.14622522
IL31,11.63798565,13.96558278,24.6145522,185.678733,15.57327234,20.10085304,18.42578196,16.75071087,21.77592413,20.10085304,11.05276036,10.13169699,11.97382372,23.27604032,13.62034629
IL1RA,27.81090391,23.53230331,27.97111204,31.52801043,28.59165722,24.45134056,35.14880206,21.39492299,22.92313178,19.86671421,18.10980054,22.28898528,19.50286212,26.62231214,23.91752721
SCF,50.31436209,74.14748097,81.29142729,205.218059,33.65403003,59.00534853,46.97513184,50.41233661,42.39219215,44.68366199,49.47866138,44.88785775,35.19616119,68.23739516,50.50960265
RANTES,679.2656226,892.4657816,1667.953116,1288.489704,1985.624546,1615.551103,687.1119837,1497.122046,712.8088546,572.0346921,904.0126761,1343.322207,1404.266882,1611.707027,593.5813957
IFNG,43.35505192,52.64542019,64.81424447,293.9876817,51.01974912,62.51079863,35.00604723,43.75755904,44.38266703,42.50734307,50.55865032,68.81594072,42.1322086,57.51395399,27.40476861
GMCSF,30.27462252,42.82751479,30.10590777,111.3990503,43.20971307,20.61844821,19.24388499,15.12019535,45.36058606,31.61495392,23.79687152,35.17798398,13.45040564,29.95571395,19.57000342
TNFA,203.5284885,205.6596769,244.3011598,271.6689198,214.5160735,213.0365946,222.7200762,190.2112452,219.9533672,206.1198221,204.2631931,232.2993176,211.6059876,230.0199844,197.7011247
HGF,65.46705428,64.14001939,80.11279045,144.3154859,67.04258566,83.24108805,111.1706636,42.16818276,81.0505331,98.57497269,82.87241878,63.19021932,62.15431408,90.04039811,52.50584784
MIP1B,309.4741824,309.0675146,498.5904977,668.0353888,345.1588755,232.6458358,423.9620388,199.9820938,306.6392105,252.6440452,280.9615195,334.7340591,264.8297576,504.5029162,225.9536506
IFNA,91.72292177,117.4053399,150.1119885,328.6859847,115.755349,109.2561372,67.51783758,85.93179328,88.38698737,77.33861395,77.70306278,103.1896674,95.73017334,123.5160615,78.33953243
TGFB,52.03400717,57.98075084,66.36649391,63.33108438,51.03440709,60.42422961,43.32303255,53.58375078,60.42422961,51.30359117,51.61508899,48.51818365,49.55048543,66.46640731,43.96629585
MCP1,520.0911286,442.1895479,281.6287255,1013.027199,485.3337548,261.5308489,333.9416702,679.8098287,988.1947385,498.3568293,459.1416982,723.4065342,423.7095415,265.0504706,156.9545242
IL9,22.32688227,22.32688227,42.90280566,424.138858,29.94920358,26.06765698,15.89491279,19.70969186,17.80230232,20.34548837,27.41746134,19.35350212,19.35350212,26.14886326,12.70957852
VEGFD,87.99511459,52.34192161,48.46511634,64.62188704,14.88500403,100.5827376,31.39884401,65.9907908,40.97815235,66.5229746,32.10491488,144.2251561,31.61099311,34.60108369,30.12623379
TNFB,39.44499284,57.86995661,77.90073487,386.0043757,54.85549245,55.27248123,39.04569775,40.05987172,39.55278473,41.07404569,48.30916184,65.21736848,47.10143279,61.75532669,28.46631379
NGF,41.10329713,46.87218094,53.26726679,114.9906257,47.17744226,24.51274223,35.17045625,27.71005644,34.10468484,31.97314204,25.7147484,32.57201464,27.42906496,38.42741912,37.47950906
EGF,150.6451482,179.1584255,799.9476539,491.8401713,91.3764786,145.9139798,267.972813,23.85514656,81.10749831,183.6846285,161.646978,75.18464094,51.87740225,783.1326543,68.59580448
BDNF,2185.977151,2480.733941,5870.394042,3536.984611,3643.221046,1231.169299,1525.674056,697.9239972,3466.094458,2227.954633,854.3954373,2987.122979,1434.862567,3523.161333,1580.461557
TRAIL,83.43739482,104.6034987,142.3759027,339.9598468,112.7786471,108.3177649,71.67294893,77.60078681,93.7676174,67.90068846,113.1446185,85.26063671,73.9997979,111.8043195,57.79465103
GCSF,36.25527935,56.47456975,64.497526,308.8057932,44.5029286,41.44265442,36.83791504,37.98909988,54.10568771,36.83791504,39.47063344,35.47360727,35.97323554,44.40407229,29.47604667
GROA,24.38770828,38.65221689,51.8745622,485.930657,38.9770128,31.31757106,18.26858312,23.4881783,24.79307709,18.26858312,25.73315499,31.82784959,25.73315499,33.58127332,20.06863934
IL1A,125.147176,172.794954,269.2878448,545.4496575,189.000524,158.6567586,91.31324238,96.44961226,106.1516443,93.59607344,73.59751155,106.8526834,124.8431863,151.4999423,93.57289033
IL23,42.83789957,42.83789957,52.15491285,110.9979421,57.72995472,50.37412727,40.54502926,50.37412727,66.34641152,40.54502926,41.9189801,41.04566802,35.8057955,52.16263644,13.46562643
IL12P40,162.9589537,254.4220819,206.8279387,449.0593398,280.0883053,219.0227431,335.5242022,211.5666497,246.0510816,157.5099727,173.2557273,255.528,192.6139091,284.7424036,202.0262401
IL15,41.22120302,59.89956064,53.69418051,87.49324839,45.39037029,52.97428088,44.54655437,39.73071066,49.36239809,33.71090601,46.19075005,44.65105838,47.21721116,48.96160119,40.43125271
IL18,183.5284003,202.8121815,308.5237792,352.5038851,250.1405207,244.0235689,225.0002262,230.9040222,232.8719542,224.3442488,191.8733078,205.578544,194.1575138,287.8568496,188.281386
MCSF,33.4005931,79.57200121,100.04515,337.7438929,74.94330174,54.81573905,41.11180428,50.81875807,41.11180428,34.2598369,42.68941057,47.6698418,48.38133198,75.07465073,25.68407951
MCP3,78.29369143,56.97115419,59.85040584,68.69246279,36.63613191,37.40320365,32.66195248,30.55472974,46.88570598,34.24236954,40.55634426,49.71422844,40.55634426,33.41989641,32.62560841
MIG,63.56796875,46.88137696,49.98951104,138.4744228,65.27306559,42.34754657,65.23811228,41.20301828,42.34754657,28.61320714,37.81658586,42.26559596,37.81658586,56.93527568,43.83221065
RESISTIN,1105.133364,1514.695158,1674.405463,2337.020959,1197.765997,2419.862262,1672.575984,994.194258,995.0145503,1003.217473,1275.68385,1240.756391,799.1735201,5335.259738,473.4766263
IL21,38.56255533,32.4357942,41.02217453,75.7031231,39.30290615,33.63724277,27.40812374,27.40812374,34.88306658,32.39141896,20.18777528,34.7678352,25.79549064,35.52852895,28.55453191
